Dept	Sem	Div	GenTotal	GenFilled	DBTotal	DBFilled	MissingCnt	ExtraCnt	SampleMissing
AIDS	8	ai	29	24	29	11	15	1	Monday:2:PPI
AIDS	8	ds	29	29	29	15	14	0	Monday:2:EIDM
AIDS	7	ai	29	29	29	23	6	0	Monday:3:DLL
AIDS	7	ds	29	29	29	29	0	0	
AU	8	AUTO	29	29	29	29	0	0	
AU	7	AUTO	29	29	29	29	0	0	
CE	8	CIVIL	29	29	29	29	0	0	
CE	7	CIVIL	29	29	29	29	0	0	
CS	8	CS1	29	29	29	28	1	0	Tuesday:3:PEVI
CS	8	CS2	29	29	29	29	0	0	
CS	8	CS3	29	29	29	29	0	0	
CS	7	CS1	29	15	29	12	7	1	Tuesday:2:PEIC2
CS	7	CS2	29	18	29	12	9	1	Monday:6:PEIC1
CS	7	CS3	29	21	29	15	7	1	Tuesday:2:PEIC2
EC	8	EC	29	29	29	29	0	0	
EC	7	EC	29	29	29	29	0	0	
EEE	8	EEE	29	29	29	24	5	0	Tuesday:3:PPI
EEE	7	EEE	29	29	29	15	14	0	Monday:1:CSL
ME	8	ME	29	29	29	29	0	0	
ME	7	ME	29	29	29	29	0	0	
