department,division,semester,subject_code,subject_name,type,hours_db,required_periods,scheduled_periods,missing_periods
AIDS,ai,7,CET445,Natural Disasters and Mitigation,MNC (Core),4-0-0-0,4,0,4
AIDS,ai,7,MCN401,Industrial Safety Engineering,HSMC (Core),3-0-0-0,3,0,3
AIDS,ai,7,AIL 411,Deep Learning Lab,PCC (Lab),0-0-3-0,3,0,3
AIDS,ai,7,CAQ 413,Seminar,PCC (Core),0-0-6-0,6,0,6
AIDS,ai,7,CAD 415,Project Phase I,PCC (Core),0-0-3-0,3,0,3
AIDS,ai,7,AIT 402,Robotic Process Automation,PCC (Core),6-0-0-0,6,0,6
AIDS,ai,7,AIT 414,Elective-III AI for Cyber Security,PEC (Core),4-0-0-0,4,0,4
AIDS,ai,8,AIT 476,Elective-IV Bio-Inspired Optimization Techniques,PEC (Core),13-0-0-0,13,0,13
AIDS,ai,8,CST 428,Elective-V Blockchain Technologies,PEC (Core),4-0-0-0,4,0,4
AIDS,ai,8,CAT 404,Comprehensive Course Work,PCC (Core),1-0-0-0,1,0,1
AIDS,ai,8,CAD 416,Project Phase II,PCC (Core),11-0-0-0,11,0,11
AIDS,ds,7,CET445,Natural Disasters and Mitigation,MNC (Core),4-0-0-0,4,0,4
AIDS,ds,7,MCN401,Industrial Safety Engineering,HSMC (Core),3-0-0-0,3,0,3
AIDS,ds,7,CAQ 413,Seminar,PCC (Core),0-0-6-0,6,0,6
AIDS,ds,7,CAD 415,Project Phase I,PCC (Core),0-0-3-0,3,0,3
AIDS,ds,7,CDT401,Concepts in Cloud Computing,PCC (Core),4-1-0-0,5,0,5
AIDS,ds,7,CDT423,Program Elective  II-Concepts in Artificial Intelligence,PCC (Core),4-1-0-0,5,0,5
AIDS,ds,7,CDL411,Cloud Computing Lab,PCC (Lab),0-0-3-0,3,0,3
AIDS,ds,8,CST 428,Elective-V Blockchain Technologies,PEC (Core),4-0-0-0,4,0,4
AIDS,ds,8,CAT 404,Comprehensive Course Work,PCC (Core),1-0-0-0,1,0,1
AIDS,ds,8,CAD 416,Project Phase II,PCC (Core),11-0-0-0,11,0,11
AIDS,ds,8,CDT 402,Deep Learning for Data Science,PCC (Core),5-0-0-0,5,0,5
AIDS,ds,8,CST444,Elective III Soft Computing,PEC (Core),4-0-0-0,4,0,4
AIDS,ds,8,CST466,Elective IV Data Mining,PEC (Core),4-0-0-0,4,0,4
AU,AUTO,7,AUT401,Advanced IC Engines,CORE,6-0-0-0,6,0,6
AU,AUTO,7,AUT413,Alternate Energy Sources for Automobile,ELECTIVE,6-0-0-0,6,0,6
AU,AUTO,7,AUL411,Automobile Lab IV,LAB,0-0-3-0,3,0,3
AU,AUTO,7,MCN401,Industrial Safety Engineering,CORE,4-0-0-0,4,0,4
AU,AUTO,7,CET445,Natural Disasters and Mitigation,CORE,4-0-0-0,4,0,4
AU,AUTO,7,AUD415,Project Phase I,LAB,0-0-3-0,3,0,3
AU,AUTO,7,AUQ413,Seminar,SEMINAR,3-0-0-0,3,0,3
AU,AUTO,8,AUT404,Comprehensive Course Viva,CORE,2-0-0-0,2,0,2
AU,AUTO,8,AUT414,Elective-III Special Types of Vehicles,CORE,4-0-0-0,4,0,4
AU,AUTO,8,AUT426,Elective-IV Automotive Comfort and Safety Engineering,CORE,4-0-0-0,4,0,4
AU,AUTO,8,AUT428,Elective-V Vehicle Body Engineering and Safety,CORE,3-0-0-0,3,0,3
AU,AUTO,8,AUD416,Project Phase II,LAB,0-0-11-0,11,0,11
AU,AUTO,8,AUT402,Vehicle Dynamics,CORE,5-0-0-0,5,0,5
CE,CIVIL,7,CET401,Design of Steel Structures,CORE,5-0-0-0,5,0,5
CE,CIVIL,7,CET423,Ground Improvement Techniques,CORE,4-0-0-0,4,0,4
CE,CIVIL,7,MET445,Renewable Energy Engineering,CORE,4-0-0-0,4,0,4
CE,CIVIL,7,MCN401,Industrial Safety Engineering,CORE,3-1-0-0,4,0,4
CE,CIVIL,7,CEL411,Environmental Engineering Lab,LAB,0-0-3-0,3,0,3
CE,CIVIL,7,CEQ413,Seminar,SEMINAR,0-0-3-0,3,0,3
CE,CIVIL,7,CED415,Project Phase I,LAB,0-0-6-0,6,0,6
CE,CIVIL,8,CET402,Quantity Surveying & Valuation,CORE,4-0-0-0,4,0,4
CE,CIVIL,8,CET464,Elective III Air Quality Management,PEC (Core),4-0-0-0,4,0,4
CE,CIVIL,8,CET476,Elective IV Building Services,PEC (Core),4-0-0-0,4,0,4
CE,CIVIL,8,CET438,"Elective V Airport, Seaport and Harbour Engineering",PEC (Core),4-0-0-0,4,0,4
CE,CIVIL,8,CET404,Comprehensive Course Viva,CORE,2-0-0-0,2,0,2
CE,CIVIL,8,CED416,Project Phase II,LAB,0-0-11-0,11,0,11
